"name","genre"
"Party Favor","electronic"
"A-Trak","electronic"
"DJ Shadow","electronic"
"Kayzo","electronic"
"Maribou State","electronic"
"Brian Eno","electronic"
"Thievery Corporation","electronic"
"The Cinematic Orchestra","electronic"
"Subtronics","electronic"
"Crystal Castles","electronic"
"What So Not","electronic"
"Slushii","electronic"
"Gaullin","electronic"
"Nils Frahm","electronic"
"3LAU","electronic"
"Massive Attack","electronic"
"Taylor Swift","pop"
"The Weeknd","pop"
"Ariana Grande","pop"
"Justin Bieber","pop"
"Chris Brown","pop"
"Nicki Minaj","pop"
"Doja Cat","pop"
"BTS","pop"
"Future","pop"
"Lil Wayne","pop"
"Billie Eilish","pop"
"Rihanna","pop"
"Khalid","pop"
"Megan Thee Stallion","pop"
"Cardi B","pop"
"SZA","pop"
"Machine Gun Kelly","pop"
"blackbear","pop"
"Young Thug","pop"
"Halsey","pop"
"Ty Dolla $ign","pop"
"Harry Styles","pop"
"Kali Uchis","pop"
"A Boogie Wit da Hoodie","pop"
"Beyoncé","pop"
"Miley Cyrus","pop"
"Marshmello","pop"
"One Direction","pop"
"NF","pop"
"Lady Gaga","pop"
"Ozuna","pop"
"Shawn Mendes","pop"
"Maroon 5","pop"
"Jhené Aiko","pop"
"Selena Gomez","pop"
"Frank Ocean","pop"
"Lana Del Rey","pop"
"iann dior","pop"
"Joji","pop"
"Big Sean","pop"
"Metro Boomin","pop"
"JAY-Z","pop"
"Olivia Rodrigo","pop"
"Giveon","pop"
"Katy Perry","pop"
"Sam Smith","pop"
"Demi Lovato","pop"
"Jack Harlow","pop"
"Tyga","pop"
"Sia","pop"
"Wolfgang Amadeus Mozart","classical"
"Johann Sebastian Bach","classical"
"London Symphony Orchestra","classical"
"Frédéric Chopin","classical"
"Ludwig van Beethoven","classical"
"Ludovico Einaudi","classical"
"Yo-Yo Ma","classical"
"Claude Debussy","classical"
"Berliner Philharmoniker","classical"
"Antonio Vivaldi","classical"
"Wiener Philharmoniker","classical"
"Academy of St. Martin in the Fields","classical"
"Pyotr Ilyich Tchaikovsky","classical"
"Erik Satie","classical"
"Joe Hisaishi","classical"
"Ólafur Arnalds","classical"
"Howard Shore","classical"
"Lang Lang","classical"
"Yiruma","classical"
"Herbert von Karajan","classical"
"Jef Martens","classical"
"Sir Neville Marriner","classical"
"Nobuo Uematsu","classical"
"Camille Saint-Saëns","classical"
"Andrea Bocelli","classical"
"Daniel Barenboim","classical"
"Jean-Yves Thibaudet","classical"
"Philip Glass","classical"
"Franz Schubert","classical"
"Jacob David","classical"
"Sir Simon Rattle","classical"
"I Virtuosi Italiani","classical"
"Antônio Carlos Jobim","classical"
"Franz Liszt","classical"
"Daniel Hope","classical"
"Edvard Grieg","classical"
"Leonard Bernstein","classical"
"Stephan Moccio","classical"
"Víkingur Ólafsson","classical"
"Sergei Rachmaninoff","classical"
"Gustavo Santaolalla","classical"
"Kyle McEvoy","classical"
"Maurice Ravel","classical"
"Alexis Ffrench","classical"
"Akira Kosemura","classical"
"Johannes Brahms","classical"
"George Frideric Handel","classical"
"Jóhann Jóhannsson","classical"
"Antonín Dvorák","classical"
